	code	name	latitude	longitude	genus	family	Vso	Vso2	Vom	Vson	Vson2	Vn	Vsoq	Vsow	Vsow2	Np	Nr	Ng	Nd	Nn	Na
143	bfg	Berber (Figuig)	32.5	-1.5	Berber	Afro-Asiatic	VSO		VOX	NegVSO		NegV	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
144	bfi													Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
145	bga															Prepositions		Noun-Genitive			
146	bgm	Bangime	14.9166666667	-3.83333333333	Bangime	Bangime	SOV													Noun-Numeral	Noun-Adjective
147	bgn											[Neg-V]	Final	Not initial interrogative phrase							No dominant order
148	bgo	Bongo	7.5	28.5	Bongo-Bagirmi	Central Sudanic	SVO			OptDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Prepositions		Noun-Genitive	Demonstrative before and after Noun		No dominant order
149	bgr	Bagiro	4.33333333333	20.5833333333	Bongo-Bagirmi	Central Sudanic	SVO		VOX	SVONeg		VNeg		Not initial interrogative phrase		No dominant order	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	
150	bgs	Baga Sitemu	10.5	-14.5	Northern Mel	Niger-Congo	SVO							Initial interrogative phrase		Postpositions			Noun-Demonstrative		
151	bgz	Banggi	7.25	117.166666667	North Borneo	Austronesian	SVO						No question particle	Initial interrogative phrase							
152	bho	Bhojpuri	26.0	84.0	Indic	Indo-European	SOV		XOV	SONegV		NegV	Initial	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
153	bhu	Bhumij	21.3333333333	86.5	Munda	Austro-Asiatic	SOV							Not initial interrogative phrase				Genitive-Noun			Adjective-Noun
154	bia									MorphNeg		[Neg-V]									
155	bid	Bidiya	11.9166666667	18.75	East Chadic	Afro-Asiatic	SVO			ObligDoubleNeg		ObligDoubleNeg				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
156	big											VNeg							Demonstrative suffix		
157	bii	Biri	-20.5	146.5	Northern Pama-Nyungan	Pama-Nyungan	SVO			More than one position		Type 1 / Type 2	No question particle	Not initial interrogative phrase			Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
158	bik	Biak	-1.0	136.0	South Halmahera - West New Guinea	Austronesian	SVO		VOX	SVONeg		VNeg	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
159	bil	Bilua	-7.75	156.666666667	Bilua	Solomons East Papuan	No dominant order			Other		NegV	No question particle			Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
160	bin	Binandere	-8.25	148.0	Binanderean	Trans-New Guinea	SOV									Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
161	bio									MorphNeg		[V-Neg]					Noun-Relative clause	Genitive-Noun		No dominant order	No dominant order
162	bir	Birom	9.66666666667	8.83333333333	Benue-Congo Plateau	Niger-Congo	SVO		VOX	SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
163	biu	Bisu	19.75	100.0	Burmese-Lolo	Sino-Tibetan	SOV			MorphNeg		[Neg-V]	No question particle								Noun-Adjective
164	bka	Baka (in South Sudan)	4.83333333333	29.25	Bongo-Bagirmi	Central Sudanic	SVO			SVONeg		VNeg				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Adjective-Noun
165	bkb	Betta Kurumba	11.5	76.75	Dravidian	Dravidian	SOV									Postpositions					
166	bkl													Not initial interrogative phrase		Prepositions		No dominant order			No dominant order
167	bkn												Final	Not initial interrogative phrase							
168	bkr	Batak (Karo)	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	No dominant order	SVO or VSO	VOX	More than one position		NegV	Second position	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
169	bkt	Brokskat	35.3333333333	76.5	Indic	Indo-European	SOV											Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
170	bku	Bakueri	4.25	9.25	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]		Not initial interrogative phrase			Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
171	bla	Blackfoot	50.0	-112.666666667	Algonquian	Algic	No dominant order					[Neg-V]	No question particle	Initial interrogative phrase		No adpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
172	ble	Baoulé	7.0	-5.0	Tano	Niger-Congo	SVO			ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase		Postpositions			Noun-Demonstrative	Noun-Numeral	Noun-Adjective
173	blg																		Demonstrative-Noun		
174	bln	Bilin	15.75	38.5	Central Cushitic	Afro-Asiatic	No dominant order					[V-Neg]	No question particle			Postpositions		Genitive-Noun		Numeral-Noun	Noun-Adjective
175	blr	Belorussian	54.0	28.0	Slavic	Indo-European	No dominant order		No dominant order			NegV	Initial				Noun-Relative clause	Noun-Genitive	Demonstrative-Noun		Adjective-Noun
176	blt	Balti	35.0	76.0	Bodic	Sino-Tibetan	SOV			More than one position		Type 1 / Type 2	No question particle			Postpositions	Relative clause-Noun		Demonstrative-Noun	Noun-Numeral	Adjective-Noun
177	blu															Prepositions					Noun-Adjective
178	blx	Biloxi	30.5	-88.6666666667	Ohio Valley Siouan	Siouan	SOV			OptDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
179	blz	Balanta	12.25	-15.3333333333	Balanta	Niger-Congo	SVO			MorphNeg		[Neg-V]						Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
180	bma	Berber (Middle Atlas)	33.0	-5.0	Berber	Afro-Asiatic	VSO		VOX				Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	Numeral-Noun	Noun-Adjective
181	bmb	Bimoba	10.5	0.0	Oti-Volta	Niger-Congo	SVO		VOX	OptDoubleNeg		OptDoubleNeg	No question particle	Not initial interrogative phrase		No dominant order	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	
182	bmz											NegV				Prepositions					
183	bnb	Bunuba	-17.75	125.75	Bunuban	Bunuban	No dominant order		No dominant order							Inpositions		Genitive-Noun	Demonstrative-Noun		Adjective-Noun
184	bni	Bini	6.41666666667	5.83333333333	Edoid	Niger-Congo	SVO		VOX	SNegVO		NegV				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
185	bnj												Initial						Demonstrative-Noun		Adjective-Noun
186	bnk	Bankon	4.41666666667	9.58333333333	Bantu	Niger-Congo	SVO							Not initial interrogative phrase		Prepositions		Noun-Genitive			Noun-Adjective
187	bnn	Banoni	-6.41666666667	155.25	Oceanic	Austronesian	SVO			SNegVO		NegV				Prepositions		Noun-Genitive	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
188	bnr																	No dominant order	Demonstrative-Noun	No dominant order	
189	bnu								No dominant order	Other		NegV	Initial	Initial interrogative phrase							
190	boa	Boazi (Kuni)	-7.0	141.333333333	Boazi	Trans-New Guinea	SOV			MorphNeg		[V-Neg]				Postpositions				Noun-Numeral	
191	bob	Bobangi	-1.33333333333	17.3333333333	Bantu	Niger-Congo	SVO			ObligDoubleNeg		ObligDoubleNeg				Prepositions	Noun-Relative clause	Noun-Genitive			
192	bod									More than one position		Type 1 / Type 2	No question particle	Not initial interrogative phrase			Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Adjective-Noun
193	boi											ObligDoubleNeg									
194	boj											[V-Neg]		Not initial interrogative phrase		Postpositions			Demonstrative before and after Noun		No dominant order
195	bok	Boko	10.5	3.5	Eastern Mande	Mande	SOV			OptDoubleNeg		OptDoubleNeg				Postpositions	Noun-Relative clause	Genitive-Noun		Noun-Numeral	Noun-Adjective
196	bol	Bolia	-1.25	18.3333333333	Bantu	Niger-Congo	SVO			OptDoubleNeg		OptDoubleNeg				Prepositions		Noun-Genitive	Noun-Demonstrative		
197	bon	Bongu	-5.5	145.916666667	Rai Coast	Trans-New Guinea	SOV						Final			Postpositions		Genitive-Noun			Noun-Adjective
198	boq	Bokar	28.5	94.6666666667	Tani	Sino-Tibetan	SOV							Not initial interrogative phrase							
199	bra	Brao	14.1666666667	107.5	Bahnaric	Austro-Asiatic	SVO			SNegVO		NegV	Final	Not initial interrogative phrase		Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
200	bre	Breton	48.0	-3.0	Celtic	Indo-European	SVO			ObligDoubleNeg		ObligDoubleNeg	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
201	brf	Berber (Rif)	34.5	-4.0	Berber	Afro-Asiatic	SVO		VOX	SNegVO		NegV	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
202	brh											[V-Neg]		Not initial interrogative phrase		Postpositions	Noun-Relative clause		Demonstrative-Noun		Adjective-Noun
203	bri	Bribri	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	SOV		OVX	Other		NegV				Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
204	brl	Baragaunle	28.8333333333	83.8333333333	Bodic	Sino-Tibetan	SOV			MorphNeg		[Neg-V]					Relative clause-Noun		Demonstrative-Noun	Noun-Numeral	Noun-Adjective
205	brm	Burmese	21.0	96.0	Burmese-Lolo	Sino-Tibetan	SOV		No dominant order	ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
206	brn	Burunge	-5.33333333333	36.0	Southern Cushitic	Afro-Asiatic	SVO		No dominant order	MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		No dominant order	Noun-Relative clause	Noun-Genitive	Demonstrative suffix	Noun-Numeral	Noun-Adjective
207	brp	Barupu	-3.08333333333	142.083333333	Warapu	Skou	SOV		OVX	SNegOV		NegV	Initial	Not initial interrogative phrase			Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
208	brq	Bera	1.5	30.03	Bantu	Niger-Congo	SVO									Prepositions		Noun-Genitive			Noun-Adjective
209	brr								No dominant order			[V-Neg]		Initial interrogative phrase							
210	brs	Barasano	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	No dominant order		OXV			[V-Neg]	No question particle	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	No dominant order
211	bry															Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
212	bse															Prepositions			Noun-Demonstrative		
213	bsh	Bushoong	-4.5	21.5	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause		Noun-Demonstrative		Noun-Adjective
214	bsi															Prepositions			Noun-Demonstrative		Noun-Adjective
215	bsk									MorphNeg		[V-Neg]				Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
216	bsq	Basque	43.0	-3.0	Basque	Basque	SOV		XOV	SONegV		NegV	Other position	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
217	bsr																Noun-Relative clause	Noun-Genitive			Noun-Adjective
218	bti	Betoi	7.16666666667	-71.25	Betoi	Betoi	SOV			MorphNeg		[V-Neg]	No question particle	Initial interrogative phrase		Postpositions					
219	btk	Bontok	17.0833333333	120.916666667	Northern Luzon	Austronesian	No dominant order	SVO or VSO		Other		NegV	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive		Numeral-Noun	No dominant order
220	bto	Batak (Toba)	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	VOS		VOX	NegVOS		NegV		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	No dominant order	Noun-Adjective
221	bua	Burarra	-12.25	134.583333333	Burarran	Mangrida	SOV			Other		NegV				Postpositions					No dominant order
222	bub	Bubi	3.5	8.66666666667	Bantu	Niger-Congo	SVO												Demonstrative-Noun		Noun-Adjective
223	bud	Buduma	13.5	14.5	Biu-Mandara	Afro-Asiatic	SVO		VOX	SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
224	bug	Bugis	-4.0	120.0	South Sulawesi	Austronesian	SVO			Other		NegV		Not initial interrogative phrase			Noun-Relative clause	Noun-Genitive	Noun-Demonstrative		
225	buj																		Noun-Demonstrative		Noun-Adjective
226	bul	Bulgarian	42.5	25.0	Slavic	Indo-European	SVO		VOX	SNegVO		NegV	Second position	Initial interrogative phrase		Prepositions	Noun-Relative clause	No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
227	bum	Buma	-11.6333333333	166.833333333	Oceanic	Austronesian	SVO			SVONeg		VNeg	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
228	bun											NegV									Noun-Adjective
229	bur	Burushaski	36.5	74.5	Burushaski	Burushaski	SOV			MorphNeg		[Neg-V]	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
230	bus	Busa	9.66666666667	4.0	Eastern Mande	Mande	SOV		OVX	SOVNeg		VNeg	Final			Postpositions	Noun-Relative clause	Genitive-Noun		Noun-Numeral	Noun-Adjective
231	but	Buriat	52.0	108.0	Mongolic	Altaic	SOV			MorphNeg		[V-Neg]				Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
232	buu	Buru	-3.5	126.5	Central Malayo-Polynesian	Austronesian	SVO		VOX							Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
233	buw											NegV						Noun-Genitive			
234	buy	Buli (in Ghana)	10.5	-1.25	Oti-Volta	Niger-Congo	SVO			ObligDoubleNeg		ObligDoubleNeg									
235	bvi	Bali-Vitu	-4.9	149.116666667	Oceanic	Austronesian	SVO			SNegVO		NegV				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
236	bwc	Bajau (West Coast)	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	No dominant order	SVO or VSO		Other		NegV	Second position	Mixed		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
237	bya									MorphNeg		[Neg-V]	Initial	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
238	bzi	Bauzi	-2.5	137.5	Geelvink Bay	Geelvink Bay	SOV		XOV	SOVNeg		VNeg				Postpositions					
239	cah	Cahuilla	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	SOV			SONegV		NegV	No question particle	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun			Adjective-Noun
240	cai	Chai	5.33333333333	35.3333333333	South Surmic	Eastern Sudanic	No dominant order	SOV or SVO	No dominant order	More than one position		Type 1 / Type 2	No question particle	Not initial interrogative phrase		Postpositions		Noun-Genitive	Demonstrative before and after Noun	Noun-Numeral	Noun-Adjective
241	cak	Cakchiquel	14.5	-91.0	Mayan	Mayan	VOS			ObligDoubleNeg		ObligDoubleNeg		Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
242	cam	Camsá	1.16666666667	-77.0	Camsá	Camsá	No dominant order		No dominant order			[Neg-V]				Postpositions				Numeral-Noun	No dominant order
243	can	Candoshi	-4.16666666667	-77.0	Candoshi	Candoshi	SOV			MorphNeg		[V-Neg]	No question particle					Genitive-Noun			
244	car	Carib	5.5	-56.0	Cariban	Cariban	SOV			MorphNeg		[V-Neg]	No question particle			Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
245	cas	Cashibo	-8.5	-75.5	Panoan	Pano-Tacanan	SOV			MorphNeg		[V-Neg]				Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
246	cav	Cavineña	-13.3333333333	-66.5	Tacanan	Pano-Tacanan	No dominant order		No dominant order							Postpositions	Noun-Relative clause	Genitive-Noun		Numeral-Noun	Noun-Adjective
247	cax	Campa (Axininca)	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	No dominant order					NegV		Not initial interrogative phrase		No adpositions	Noun-Relative clause	Genitive-Noun			Noun-Adjective
248	cay	Cayapa	0.666666666667	-79.0	Barbacoan	Barbacoan	SOV			MorphNeg		[V-Neg]		Initial interrogative phrase				Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
249	cba	Chumash (Barbareño)	34.5	-120.25	Chumash	Chumash	VOS			MorphNeg		[Neg-V]	No question particle			Prepositions		Noun-Genitive	Demonstrative prefix		
250	cbo	Chácobo	-12.1666666667	-66.75	Panoan	Pano-Tacanan	No dominant order					[V-Neg]		Initial interrogative phrase		Postpositions		Genitive-Noun			Noun-Adjective
251	ccm	Chinantec (Comaltepec)	17.5833333333	-96.4166666667	Chinantecan	Oto-Manguean	VSO		VOX	MorphNeg		[Neg-V]	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
252	cct	Choctaw	32.25	-88.5	Muskogean	Muskogean	SOV		XOV	MorphNeg		[V-Neg]	Final	Not initial interrogative phrase		Postpositions	Internally headed	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Only internally-headed relative clauses
253	cde	Carib (De'kwana)	5.5	-65.0	Cariban	Cariban	SOV		OVX	MorphNeg		[V-Neg]		Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
254	cea	Cree (Swampy)	56.0	-90.0	Algonquian	Algic	No dominant order		No dominant order	Other		NegV	Second position						Demonstrative-Noun		
255	ceb	Cebuano	10.0	124.0	Greater Central Philippine	Austronesian	VSO									Prepositions	Noun-Relative clause	Noun-Genitive			
256	cem	Cèmuhî	-20.8333333333	165.166666667	Oceanic	Austronesian	VOS		VOX	NegVOS		NegV	Initial			Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
257	cga	Chaga	-3.0	37.0	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]	Final								Noun-Adjective
258	cha	Chamorro	13.45	144.75	Chamorro	Austronesian	VSO			NegVSO		NegV	Initial	Mixed		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
259	chb	Chambri	-4.16666666667	143.083333333	Lower Sepik	Ramu-Lower Sepik	SOV			ObligDoubleNeg		ObligDoubleNeg									Noun-Adjective
260	chc	Chechen	43.25	45.8333333333	Nakh	Nakh-Daghestanian	SOV			SONegV		NegV	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
261	chd	Chaudangsi	30.0	80.25	Bodic	Sino-Tibetan	SOV			Other		NegV							Demonstrative-Noun	Numeral-Noun	Adjective-Noun
262	che	Cherokee	35.5	-83.5	Southern Iroquoian	Iroquoian	No dominant order		No dominant order			NegV	Second position	Initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
263	chg	Chang	26.3333333333	94.75	Brahmaputran	Sino-Tibetan	SOV			MorphNeg		[Neg-V]	Final	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	No dominant order
264	chh	Chaha	8.112935	37.93267	Semitic	Afro-Asiatic	SOV		XOV	MorphNeg		[Neg-V]	Final			No dominant order	Relative clause-Noun	Genitive-Noun	Noun-Demonstrative	Numeral-Noun	Adjective-Noun
265	chi									OptDoubleNeg		OptDoubleNeg	No question particle			Postpositions	Internally headed	Genitive-Noun	Mixed	Noun-Numeral	Noun-Adjective
266	chj	Chuj	15.9166666667	-91.5833333333	Mayan	Mayan	VOS			OptDoubleNeg		OptDoubleNeg		Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	
267	chk	Chukchi	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	No dominant order			Other		NegV	No question particle	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
268	chn									MorphNeg		[Neg-V]		Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
269	chp	Chipewyan	59.0	-106.0	Athapaskan	Na-Dene	SOV			SOVNeg		VNeg	Final			Postpositions	Noun-Relative clause		Demonstrative-Noun	Numeral-Noun	
